,od 01.01.2017 do 31.12.2017 (000’ PLN)
Przychody netto ze sprzedaży,329
Zysk (strata) na działalności operacyjnej,(1 937)
Zysk (strata) przed opodatkowaniem,(17 966)
Zysk (strata) netto,(17 836)
Przepływy środków pieniężnych z działalności operacyjnej,(1 948)
Przepływy środków pieniężnych z działalności inwestycyjnej,851
Przepływy środków pieniężnych z działalności finansowej,837
Zwiększenie/zmniejszenie netto środków pieniężnych i ich ekwiwalentów,-260
średnia ważona liczba akcji zwykłych (w szt.),22 353 000
Zysk/strata na akcje w trakcie okresu (w zł na jedną akcję),"-0,7979"